Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
8;2.36E4;0.00E0;1.87E-6;5.00E-5;0.00E0;0.00E0;4;0;-15123.7645552299;-5196.40214308645;0;34.8175930721598;345;303.611201818922
17;3.81E4;0.00E0;5.05E-7;5.00E-5;0.00E0;0.00E0;4;0;-7573.44163844728;-1581.93347208567;0;161.375569580587;82;105.516754360688
20;5.49E4;0.00E0;3.99E-6;5.00E-5;0.00E0;0.00E0;4;0;-5332.78378783874;-5293.22550409713;0;75.9698850510376;45;323.229368808702
21;4.22E4;0.00E0;1.30E-6;5.00E-5;0.00E0;0.00E0;4;0;-8791.72193753819;-3759.7294899177;0;158.015377490808;127;119.511911690023
23;3.98E4;0.00E0;8.48E-7;5.00E-5;0.00E0;0.00E0;4;0;-11046.0844030755;-9181.94461099983;0;74.1929112943287;194;239.740197684574
25;4.52E4;0.00E0;1.55E-6;5.00E-5;0.00E0;0.00E0;4;0;-15435.6774938358;-5967.26553755401;0;125.86215076902;346;160.431993826072
29;2.46E4;0.00E0;9.43E-7;5.00E-5;0.00E0;0.00E0;4;0;-3690.57991290325;-7608.84743985383;0;138.342562777396;54;79.6151669355972
34;6.54E4;0.00E0;1.42E-6;5.00E-5;0.00E0;0.00E0;4;0;-13512.6360783219;-7015.62428494707;0;181.38155637522;168;161.24042379182
38;3.96E4;0.00E0;8.71E-7;5.00E-5;0.00E0;0.00E0;4;0;-3897.34242860403;-1178.43462435172;0;80.1864984645377;361;220.685523021454
44;2.20E4;0.00E0;4.75E-7;5.00E-5;0.00E0;0.00E0;4;0;-14979.7365474692;-11348.2168900381;0;158.971708128577;212;61.927989666857
49;6.42E4;0.00E0;1.64E-6;5.00E-5;0.00E0;0.00E0;4;0;-5129.43248412192;-6157.48364350451;0;64.7441160843698;48;443.284742762388
54;4.63E4;0.00E0;5.20E-7;5.00E-5;0.00E0;0.00E0;4;0;-3849.61630630681;-1769.35991320539;0;74.6057400176929;20;277.611137122095
62;7.67E4;0.00E0;4.96E-6;5.00E-5;0.00E0;0.00E0;4;0;-7690.02389828322;-2545.30508237482;0;150.980646187282;79;227.205911237848
65;1.16E5;0.00E0;2.47E-6;5.00E-5;0.00E0;0.00E0;4;0;-14424.7268762454;-5121.72621302476;0;542.921082725733;343;95.3528378831643
66;1.75E5;0.00E0;6.26E-6;5.00E-5;0.00E0;0.00E0;4;0;-13827.0030260745;-3475.38028865088;0;186.250307615802;264;420.471851208464
