Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
8;4.58E4;0.00E0;3.10E-6;5.00E-5;0.00E0;0.00E0;4;0;-3125.24254058297;5268.66243244004;0;317.529268843416;191;64.545269124297
29;4.04E4;0.00E0;1.15E-6;5.00E-5;0.00E0;0.00E0;4;0;-3643.60196788901;4221.21183009234;0;292.820525372662;226;61.754357113334
35;2.61E4;0.00E0;8.23E-7;5.00E-5;0.00E0;0.00E0;4;0;-2905.42848861408;-358.157558013184;0;118.108271596904;20;98.8165788776484
43;8.04E4;0.00E0;3.55E-6;5.00E-5;0.00E0;0.00E0;4;0;-3189.1697906851;3813.94571057576;0;400.117281082125;185;89.7830795550634
45;5.14E4;0.00E0;1.32E-6;5.00E-5;0.00E0;0.00E0;4;0;-3067.75975711943;5200.12472023692;0;241.462092492961;191;95.0823150277434
48;3.12E4;0.00E0;2.35E-6;5.00E-5;0.00E0;0.00E0;4;0;-5370.96983590984;434.922617069984;0;119.7523784409;47;116.501539856394
54;1.27E5;0.00E0;4.18E-6;5.00E-5;0.00E0;0.00E0;4;0;-2347.70680591015;588.442581429927;0;555.008231306236;166;101.986362855181
56;4.00E4;0.00E0;2.85E-6;5.00E-5;0.00E0;0.00E0;4;0;-5065.3828878645;-784.295888958993;0;103.521042181015;145;172.852177521677
65;7.80E4;0.00E0;1.65E-6;5.00E-5;0.00E0;0.00E0;4;0;-6279.36684831326;9925.98712154069;0;221.505219639242;102;157.507925678647
67;4.45E4;0.00E0;1.13E-6;5.00E-5;0.00E0;0.00E0;4;0;-5014.7821782238;-93.0201112110103;0;223.656633811607;43;88.9246537408816
70;2.91E4;0.00E0;1.57E-6;5.00E-5;0.00E0;0.00E0;4;0;-2896.07986584061;-425.986626431231;0;186.362566867807;20;69.8175251983236
80;1.92E4;0.00E0;1.21E-6;5.00E-5;0.00E0;0.00E0;4;0;-7104.73975341553;1796.28518950684;0;120.544053624277;137;71.1514995762033
93;1.09E5;0.00E0;2.97E-6;5.00E-5;0.00E0;0.00E0;4;0;-3879.38068456298;3738.30217455259;0;758.470102927412;226;64.2523974034646
96;1.21E5;0.00E0;4.27E-6;5.00E-5;0.00E0;0.00E0;4;0;-3411.24666948519;5877.44456955031;0;472.746876302039;210;114.669048127729
101;5.39E4;0.00E0;1.46E-6;5.00E-5;0.00E0;0.00E0;4;0;-6495.38592075279;10430.9926177488;0;321.278802307429;103;75.054511296887
102;2.82E4;0.00E0;4.88E-7;5.00E-5;0.00E0;0.00E0;4;0;-6885.66333787903;1586.60878221125;0;188.322415777105;140;66.9759393420727
105;8.04E4;0.00E0;1.31E-5;5.00E-5;0.00E0;0.00E0;4;0;-6063.71201923227;292.255592192286;0;435.26412638853;50;82.5784068336364
110;7.79E4;0.00E0;1.38E-6;5.00E-5;0.00E0;0.00E0;4;0;-3599.63639971348;4072.60621487575;0;324.360021326213;226;107.40970520063
112;1.33E4;0.00E0;9.04E-7;5.00E-5;0.00E0;0.00E0;4;0;-2526.59800167813;6175.44162579005;0;49.0804810131318;200;121.531285096188
113;1.37E5;0.00E0;2.74E-6;5.00E-5;0.00E0;0.00E0;4;0;-4278.31556184635;-750.357653207669;0;245.266200966283;32;250.282955014407
128;5.67E4;0.00E0;2.12E-6;5.00E-5;0.00E0;0.00E0;4;0;-3121.39288501258;6355.87301117699;0;149.663943567506;205;169.294486665089
139;3.66E4;0.00E0;1.87E-6;5.00E-5;0.00E0;0.00E0;4;0;-2457.55178414481;6333.89280413749;0;75.2584606018228;200;217.311630852908
157;9.29E4;0.00E0;5.18E-6;5.00E-5;0.00E0;0.00E0;4;0;-2857.4478704874;2033.77674331144;0;172.118226825107;178;241.237883463563
165;2.38E4;0.00E0;9.26E-7;5.00E-5;0.00E0;0.00E0;4;0;-4720.00481754293;70.9603098021794;0;104.191078956994;43;102.120493993785
177;4.10E4;0.00E0;2.39E-6;5.00E-5;0.00E0;0.00E0;4;0;-6555.32516765873;-1047.80680666891;0;58.1421619995566;155;315.62989638601
181;3.17E4;0.00E0;1.35E-6;5.00E-5;0.00E0;0.00E0;4;0;-2666.25739392122;1936.52351073071;0;35.0850321111319;178;403.615442953568
