Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
1;1.11E5;0.00E0;3.14E-6;5.00E-5;0.00E0;0.00E0;4;0;-4058.26562713456;-1275.6086802838;0;314.356603294835;90;158.092081390724
7;3.27E4;0.00E0;5.06E-6;5.00E-5;0.00E0;0.00E0;4;0;-7677.70527211548;2408.77678191292;0;107.303712696315;107;136.376590870707
8;8.14E4;0.00E0;1.25E-6;5.00E-5;0.00E0;0.00E0;4;0;-11198.8739977035;-2129.93216164534;0;402.0636598774;81;90.518982517714
13;1.80E5;0.00E0;1.75E-6;5.00E-5;0.00E0;0.00E0;4;0;-8587.94663861283;3251.84789058712;0;654.567366353505;110;122.766646467466
15;4.22E4;0.00E0;1.10E-6;5.00E-5;0.00E0;0.00E0;4;0;-1801.85873250642;-2236.72106144458;0;173.443623090526;10;108.815571551311
22;5.44E4;0.00E0;1.10E-6;5.00E-5;0.00E0;0.00E0;4;0;-6348.24229034685;602.035219688581;0;124.904892595202;97;194.762790433906
30;7.26E4;0.00E0;3.08E-6;5.00E-5;0.00E0;0.00E0;4;0;-6310.71309552919;2270.24366424117;0;425.858620942707;127;76.1725685767454
37;6.70E4;0.00E0;3.52E-6;5.00E-5;0.00E0;0.00E0;4;0;-2934.87904727299;-4680.30205221149;0;438.833111071163;27;68.2845995611018
39;4.36E4;0.00E0;2.89E-6;5.00E-5;0.00E0;0.00E0;4;0;-5167.82631102833;-424.852125537383;0;42.7808987727531;91;455.462897129903
40;1.41E5;0.00E0;5.68E-6;5.00E-5;0.00E0;0.00E0;4;0;-11231.3462249604;-1944.69810869238;0;242.548407972839;81;259.007161640675
48;3.13E4;0.00E0;9.72E-7;5.00E-5;0.00E0;0.00E0;4;0;-2063.39905781163;-4313.47404610095;0;105.309872969546;29;132.993673021619
49;5.21E4;0.00E0;5.68E-7;5.00E-5;0.00E0;0.00E0;4;0;-2638.9169512934;-1506.60861317223;0;384.000016924419;34;60.6149401541522
54;6.97E4;0.00E0;9.32E-7;5.00E-5;0.00E0;0.00E0;4;0;-8334.80382407293;-1617.1179670551;0;262.458122106013;124;118.779792370564
56;3.66E4;0.00E0;3.43E-7;5.00E-5;0.00E0;0.00E0;4;0;-8794.52902420247;-1191.48755433793;0;47.6189768276939;114;343.647865907158
57;1.66E4;0.00E0;1.51E-6;5.00E-5;0.00E0;0.00E0;4;0;-9932.05785772285;-3883.36727142152;0;75.1914093985017;85;98.9271860676692
63;4.13E4;0.00E0;1.52E-6;5.00E-5;0.00E0;0.00E0;4;0;-8069.62413781476;2357.45688769442;0;67.8146018235787;109;272.04196140103
82;2.16E4;0.00E0;2.44E-6;5.00E-5;0.00E0;0.00E0;4;0;-7432.4975675485;168.415670301622;0;44.7187615033568;99;215.715405335002
91;5.68E4;0.00E0;2.23E-6;5.00E-5;0.00E0;0.00E0;4;0;-3326.00186404757;-327.554985191802;0;336.754042653832;131;75.3441853390709
93;1.18E5;0.00E0;3.83E-6;5.00E-5;0.00E0;0.00E0;4;0;-9482.52881337898;-5690.54608707655;0;681.84954671824;84;77.5532095961488
95;3.78E4;0.00E0;2.32E-6;5.00E-5;0.00E0;0.00E0;4;0;-1905.39763769464;-3494.67982334988;0;117.90265953272;15;143.180615159445
104;3.56E4;0.00E0;1.98E-6;5.00E-5;0.00E0;0.00E0;4;0;-10524.7261125121;-539.048256417629;0;237.3918087081;117;67.0254817978465
106;1.45E4;0.00E0;5.91E-7;5.00E-5;0.00E0;0.00E0;4;0;-9814.9104919753;-4111.8510393652;0;46.3413934557914;57;139.613650457659
112;4.33E4;0.00E0;1.99E-6;5.00E-5;0.00E0;0.00E0;4;0;-3113.66778944775;1530.23826745596;0;108.902642837095;139;177.751543814544
117;5.28E4;0.00E0;6.97E-7;5.00E-5;0.00E0;0.00E0;4;0;-10423.8054541934;-3848.23497117728;0;130.439317645775;82;181.019508365768
120;2.53E4;0.00E0;2.47E-6;5.00E-5;0.00E0;0.00E0;4;0;-6662.52707947614;-3898.16006993264;0;153.797954378995;52;73.6269481388446
122;4.40E4;0.00E0;2.00E-6;5.00E-5;0.00E0;0.00E0;4;0;-3215.05864797008;-1925.738693665;0;118.298935766759;34;166.176731270494
126;2.99E4;0.00E0;1.67E-6;5.00E-5;0.00E0;0.00E0;4;0;-11333.0791547796;-3098.65917410486;0;150.351792669735;70;88.7873838100814
132;1.09E5;0.00E0;2.99E-6;5.00E-5;0.00E0;0.00E0;4;0;-5155.72447914695;-617.972941053423;0;210.360832832003;91;231.547669090507
135;4.97E4;0.00E0;2.78E-6;5.00E-5;0.00E0;0.00E0;4;0;-10315.1749656316;-4358.95712418467;0;348.086429744537;83;63.894368381867
