Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
1;5.23E4;0.00E0;2.81E-6;5.00E-5;0.00E0;0.00E0;4;0;-340.598361227269;-3860.64503237857;0;313.336587073184;36;74.6725083451285
4;5.43E4;0.00E0;2.10E-6;5.00E-5;0.00E0;0.00E0;4;0;98.7573184534904;-1185.36622137769;0;237.616421388199;141;102.177825062339
15;3.57E4;0.00E0;1.08E-6;5.00E-5;0.00E0;0.00E0;4;0;3716.11346456947;-6024.0394057272;0;95.0317312707476;56;167.848122728071
25;3.99E4;0.00E0;1.73E-6;5.00E-5;0.00E0;0.00E0;4;0;238.74037751983;-3722.50449676592;0;151.098700296249;37;117.987089114471
27;7.13E4;0.00E0;2.36E-6;5.00E-5;0.00E0;0.00E0;4;0;764.343966562201;-5801.73459863686;0;351.70344231825;124;90.6926034205558
41;6.79E4;0.00E0;1.18E-6;5.00E-5;0.00E0;0.00E0;4;0;5029.31103179173;-12223.4501375836;0;206.599513888565;75;146.882510617392
42;1.48E4;0.00E0;8.48E-7;5.00E-5;0.00E0;0.00E0;4;0;3125.927332238;-11485.5796079209;0;92.2461900044545;83;71.9118697183088
44;7.43E4;0.00E0;2.84E-6;5.00E-5;0.00E0;0.00E0;4;0;2135.64962586811;-4746.73395806714;0;335.732257558617;115;98.9667256604369
48;9.16E4;0.00E0;5.48E-7;5.00E-5;0.00E0;0.00E0;4;0;376.843705286871;-3873.12921480643;0;124.263004126518;38;329.412348903309
50;4.40E4;0.00E0;1.70E-6;5.00E-5;0.00E0;0.00E0;4;0;5249.96136127897;-1674.5661822573;0;218.324781655565;109;90.0729069567219
61;8.02E4;0.00E0;8.17E-6;5.00E-5;0.00E0;0.00E0;4;0;413.392712899407;-1186.65574225943;0;104.126966954333;143;344.322481679471
63;1.55E5;0.00E0;2.16E-6;5.00E-5;0.00E0;0.00E0;4;0;3764.75152903618;-15333.2507465202;0;719.817717543658;78;96.0699892800491
64;5.13E4;0.00E0;1.46E-6;5.00E-5;0.00E0;0.00E0;4;0;186.105484715918;-820.532096373525;0;136.711483109793;141;167.631218352612
73;5.30E4;0.00E0;1.28E-6;5.00E-5;0.00E0;0.00E0;4;0;4327.15168600138;-14540.068604615;0;282.414017557243;78;83.8224257260892
81;3.37E4;0.00E0;4.19E-6;5.00E-5;0.00E0;0.00E0;4;0;2995.24404779388;-11364.3674738785;0;248.88226875706;83;60.4975721525284
89;4.88E4;0.00E0;1.14E-6;5.00E-5;0.00E0;0.00E0;4;0;6261.41180703223;-8743.90396972684;0;231.921875101885;63;94.1179560086082
105;8.42E4;0.00E0;1.88E-6;5.00E-5;0.00E0;0.00E0;4;0;4597.66129481099;-12743.8395324436;0;127.979900693907;76;294.190418265683
110;4.70E4;0.00E0;8.02E-7;5.00E-5;0.00E0;0.00E0;4;0;5739.57559551532;-266.828588316032;0;79.6954927458361;105;263.558055684389
113;3.85E4;0.00E0;5.09E-7;5.00E-5;0.00E0;0.00E0;4;0;5800.65488548861;-9539.76691567644;0;62.2800348634754;64;276.704816495417
131;3.58E4;0.00E0;6.86E-7;5.00E-5;0.00E0;0.00E0;4;0;-534.773009605394;-1521.13956044051;0;65.2459015861115;8;245.279495845122
132;1.65E5;0.00E0;9.63E-6;5.00E-5;0.00E0;0.00E0;4;0;4734.12686645918;-3329.7335561656;0;331.162987269354;95;222.368191554069
142;3.60E4;0.00E0;1.48E-6;5.00E-5;0.00E0;0.00E0;4;0;7729.28758014819;-10566.2501780135;0;77.2303546477248;72;208.289892971685
169;1.19E5;0.00E0;1.28E-6;5.00E-5;0.00E0;0.00E0;4;0;3238.1770848523;-7353.48313923937;0;830.942837859291;88;63.8405586101665
178;3.45E4;0.00E0;3.60E-6;5.00E-5;0.00E0;0.00E0;4;0;4526.90272406225;-13014.5459036246;0;169.980423813304;76;90.8240378144307
181;4.18E4;0.00E0;6.95E-7;5.00E-5;0.00E0;0.00E0;4;0;5784.95606119344;1305.80755763736;0;273.927488218504;108;68.2179460680458
185;1.04E5;0.00E0;3.33E-6;5.00E-5;0.00E0;0.00E0;4;0;603.96949814186;-5958.16151465612;0;256.4653053089;124;180.456154964785
194;4.15E4;0.00E0;2.50E-6;5.00E-5;0.00E0;0.00E0;4;0;-777.359800528697;-1433.23410861008;0;80.9805473135975;9;229.219935785987
195;2.52E4;0.00E0;5.55E-7;5.00E-5;0.00E0;0.00E0;4;0;5721.69518758922;-9735.51636116593;0;68.5440068962863;65;164.080586306944
199;3.93E4;0.00E0;6.37E-7;5.00E-5;0.00E0;0.00E0;4;0;1728.9386836022;-5896.79736466406;0;200.417891218177;118;87.5717581228483
222;5.53E4;0.00E0;3.27E-6;5.00E-5;0.00E0;0.00E0;4;0;8026.0135832636;-10665.3120893687;0;354.311122059142;72;69.7973070445091
224;8.23E4;0.00E0;2.17E-6;5.00E-5;0.00E0;0.00E0;4;0;4366.11865361759;-12624.4684335213;0;370.757046595985;76;99.1904227300084
226;4.77E4;0.00E0;3.39E-6;5.00E-5;0.00E0;0.00E0;4;0;1634.17673392157;-4921.33432884519;0;186.639601137931;115;114.236864786515
228;1.22E5;0.00E0;2.26E-6;5.00E-5;0.00E0;0.00E0;4;0;4551.1151236289;-2230.36592912354;0;77.3389829480334;98;704.135474189631
264;6.29E4;0.00E0;1.05E-6;5.00E-5;0.00E0;0.00E0;4;0;-176.293493320165;-6128.03948565797;0;348.051949875286;125;80.8126247357682
280;4.11E4;0.00E0;4.72E-6;5.00E-5;0.00E0;0.00E0;4;0;1517.68910332542;-6837.41422916771;0;224.487456611855;119;81.9072923212026
303;3.62E4;0.00E0;1.36E-6;5.00E-5;0.00E0;0.00E0;4;0;-678.233051360487;-3437.28427922356;0;175.678713519902;35;92.1935052266848
310;8.24E4;0.00E0;1.77E-6;5.00E-5;0.00E0;0.00E0;4;0;4447.21586505401;-7729.42453571046;0;322.635388610186;59;114.183726809686
320;3.20E4;0.00E0;5.63E-7;5.00E-5;0.00E0;0.00E0;4;0;-144.819367204969;-6422.05560882614;0;148.004245439461;126;96.5922094203194
334;3.49E4;0.00E0;1.20E-6;5.00E-5;0.00E0;0.00E0;4;0;7020.37199625457;-11056.3739286201;0;146.783403550585;70;106.220375722437
340;4.37E4;0.00E0;1.75E-6;5.00E-5;0.00E0;0.00E0;4;0;5201.39112080533;-1314.21832901844;0;122.278102884298;102;159.821088229265
344;7.71E4;0.00E0;3.87E-6;5.00E-5;0.00E0;0.00E0;4;0;4379.15925702155;-12701.4894505647;0;349.716892981105;76;98.557976748526
353;1.13E5;0.00E0;4.25E-6;5.00E-5;0.00E0;0.00E0;4;0;3783.69953567122;-10951.2088643704;0;521.469525672724;82;97.0352993618877
354;1.48E5;0.00E0;1.16E-6;5.00E-5;0.00E0;0.00E0;4;0;3277.39967360294;-4010.99553016283;0;525.872489527652;90;126.053517484767
355;2.09E4;0.00E0;2.10E-6;5.00E-5;0.00E0;0.00E0;4;0;1099.4323253319;-1523.693615515;0;77.6517156746142;145;120.263238921434
388;1.72E5;0.00E0;5.93E-6;5.00E-5;0.00E0;0.00E0;4;0;3935.50989821272;-10836.1431687134;0;645.026649749375;82;119.493585374779
394;9.39E4;0.00E0;2.75E-6;5.00E-5;0.00E0;0.00E0;4;0;6827.16181089385;-10874.7557857323;0;129.9729666527;69;323.067601536872
397;2.53E4;0.00E0;2.35E-6;5.00E-5;0.00E0;0.00E0;4;0;526.01917682237;-5144.4012426162;0;110.711830954087;123;102.03943059691
419;2.35E4;0.00E0;1.00E-6;5.00E-5;0.00E0;0.00E0;4;0;284.699230125705;-872.327129802246;0;116.008392423568;142;90.4014166367432
425;2.36E4;0.00E0;1.25E-6;5.00E-5;0.00E0;0.00E0;4;0;302.720707033371;-4238.36581212242;0;174.718951182957;39;60.2812827195737
433;7.14E4;0.00E0;2.53E-6;5.00E-5;0.00E0;0.00E0;4;0;4132.21628822743;-6563.20613269972;0;165.361901069163;57;192.904280634426
