Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
5;1.26E5;0.00E0;7.52E-7;5.00E-5;0.00E0;0.00E0;4;0;1578.37064905211;-9139.14814076499;0;757.518636094807;186;74.3991952126757
14;4.51E4;0.00E0;2.42E-6;5.00E-5;0.00E0;0.00E0;4;0;-5268.38559923657;-10346.3164652738;0;298.785512895859;211;67.4270643316277
42;3.31E4;0.00E0;3.56E-6;5.00E-5;0.00E0;0.00E0;4;0;-2480.06295971334;-10849.4948479667;0;229.491152519586;174;64.5149307261857
45;1.46E5;0.00E0;5.51E-6;5.00E-5;0.00E0;0.00E0;4;0;-1228.27406005333;-10925.7589963148;0;204.781279587164;198;317.703232810647
52;1.08E5;0.00E0;1.88E-6;5.00E-5;0.00E0;0.00E0;4;0;-1713.61290433324;-9702.88315140416;0;411.948161196152;180;116.828920445594
95;7.19E4;0.00E0;1.11E-6;5.00E-5;0.00E0;0.00E0;4;0;-5025.03330630802;-11882.877157718;0;291.202466729766;218;110.308157848126
99;5.78E4;0.00E0;2.75E-6;5.00E-5;0.00E0;0.00E0;4;0;-628.506859748777;-10179.0234162944;0;114.435255802876;188;225.621852348918
109;1.05E5;0.00E0;6.31E-7;5.00E-5;0.00E0;0.00E0;4;0;-3905.37353162942;-4990.39049992741;0;372.323440911476;252;126.287310518783
121;2.31E4;0.00E0;1.19E-6;5.00E-5;0.00E0;0.00E0;4;0;-8368.27729597785;-9076.52455891752;0;149.065084056575;153;69.3754081275327
122;1.45E5;0.00E0;5.09E-6;5.00E-5;0.00E0;0.00E0;4;0;-3853.79378107172;-5770.55059052995;0;456.49808206744;255;141.650445076428
128;2.61E4;0.00E0;1.47E-6;5.00E-5;0.00E0;0.00E0;4;0;-6253.31236813922;-5302.29492023613;0;157.726105843108;52;73.9702559912381
129;6.08E4;0.00E0;1.03E-6;5.00E-5;0.00E0;0.00E0;4;0;-4885.99946334344;-13529.4355008284;0;101.90595580053;222;266.706004049975
132;8.29E4;0.00E0;3.93E-6;5.00E-5;0.00E0;0.00E0;4;0;-1497.52622114091;-7981.17130061865;0;591.428411103764;200;62.6425263712886
138;6.79E4;0.00E0;2.07E-6;5.00E-5;0.00E0;0.00E0;4;0;-5475.45452342661;-13251.7574538067;0;488.419100377693;233;62.1216163769871
161;3.57E4;0.00E0;3.51E-6;5.00E-5;0.00E0;0.00E0;4;0;-5755.43596051273;-11031.7439714707;0;149.598145069676;235;106.670342573519
173;8.18E4;0.00E0;1.09E-6;5.00E-5;0.00E0;0.00E0;4;0;-6314.47034557689;-5873.45046782014;0;228.906249942283;58;159.789937405247
178;7.03E4;0.00E0;2.52E-6;5.00E-5;0.00E0;0.00E0;4;0;-3181.88044357891;-10291.1150398247;0;309.859501948768;169;101.404067508844
206;8.34E4;0.00E0;2.36E-6;5.00E-5;0.00E0;0.00E0;4;0;-508.213766693618;-8274.07948552693;0;296.553663231634;201;125.726349471964
207;5.36E4;0.00E0;1.88E-6;5.00E-5;0.00E0;0.00E0;4;0;-4986.4484507168;-7198.69017680965;0;323.934663436369;157;73.9682640067155
220;2.73E4;0.00E0;8.57E-7;5.00E-5;0.00E0;0.00E0;4;0;-4315.69858846232;-9492.79923612162;0;49.5938893271189;205;245.662876705134
221;3.35E4;0.00E0;1.32E-6;5.00E-5;0.00E0;0.00E0;4;0;-5261.02230541261;-11018.6779223089;0;77.198800497696;240;194.106020612287
222;4.23E4;0.00E0;1.12E-6;5.00E-5;0.00E0;0.00E0;4;0;-4899.05939030316;-10802.157871112;0;256.074795859851;211;73.9018977213299
227;1.04E5;0.00E0;1.32E-6;5.00E-5;0.00E0;0.00E0;4;0;-3167.46535628256;-6038.44981996888;0;174.248853474247;258;266.206662511916
239;4.61E4;0.00E0;1.56E-6;5.00E-5;0.00E0;0.00E0;4;0;-8350.46884828447;-8698.71727346022;0;293.280466973242;153;70.337751986202
