Case;Ih1;Ih2;tao11;tao21;tao12;tao22;n1;n2;X0;Y0;direc_strike;min_dist;Line_id;Rusck_maxV
3;3.83E4;0.00E0;4.79E-6;5.00E-5;0.00E0;0.00E0;4;0;-1537.6834431368;-4590.11427242846;0;238.050440661565;66;71.8521908837122
5;7.75E4;0.00E0;2.30E-6;5.00E-5;0.00E0;0.00E0;4;0;-1566.85239866785;-5961.6871211343;0;100.593409091962;152;344.565139085138
8;3.36E4;0.00E0;1.68E-6;5.00E-5;0.00E0;0.00E0;4;0;-4218.57599163265;-8635.60735361512;0;199.071253045652;91;75.3573042068656
17;4.79E4;0.00E0;9.12E-7;5.00E-5;0.00E0;0.00E0;4;0;-942.245135650583;-7976.75434870793;0;224.660828812396;161;95.4075751960822
20;3.15E4;0.00E0;9.22E-7;5.00E-5;0.00E0;0.00E0;4;0;-2629.86145903672;-9474.41236053166;0;182.171654112405;86;77.3647406636029
21;4.00E4;0.00E0;2.44E-6;5.00E-5;0.00E0;0.00E0;4;0;-2625.85344104458;-3112.00103026043;0;58.57433471452;194;305.301821780624
22;3.27E4;0.00E0;2.28E-6;5.00E-5;0.00E0;0.00E0;4;0;720.535451694211;-6468.82953953009;0;46.1486522530791;41;317.092405634242
28;9.28E4;0.00E0;2.08E-6;5.00E-5;0.00E0;0.00E0;4;0;1548.73012633613;-5731.616444645;0;598.607508613872;38;69.3257065756434
30;5.58E4;0.00E0;6.16E-7;5.00E-5;0.00E0;0.00E0;4;0;-1437.88554648115;-3258.25003317775;0;72.9265121910209;175;341.863525785832
34;2.75E4;0.00E0;6.73E-7;5.00E-5;0.00E0;0.00E0;4;0;1032.69887703693;-4282.98678771798;0;134.917974231597;60;91.2546727670581
35;8.83E4;0.00E0;3.62E-6;5.00E-5;0.00E0;0.00E0;4;0;-5512.47800943553;-5877.36360022974;0;166.43297860205;125;237.069351284322
44;7.52E4;0.00E0;4.14E-6;5.00E-5;0.00E0;0.00E0;4;0;-6275.90898676814;-9271.66835447917;0;511.271402180828;116;65.7856730579272
45;2.55E4;0.00E0;8.34E-7;5.00E-5;0.00E0;0.00E0;4;0;-926.670042192839;-7062.86002207514;0;48.6275576395383;154;234.870552400633
46;7.08E4;0.00E0;3.39E-6;5.00E-5;0.00E0;0.00E0;4;0;-336.963427480723;-3814.79998159279;0;234.42052456199;22;134.978169352299
53;6.83E4;0.00E0;2.18E-6;5.00E-5;0.00E0;0.00E0;4;0;-4331.15327498087;-3736.58883905877;0;326.645432559496;147;93.4768983238073
59;3.13E4;0.00E0;8.48E-7;5.00E-5;0.00E0;0.00E0;4;0;-163.226671863882;-3162.90987595652;0;36.3716187351993;11;384.118665461027
61;1.69E4;0.00E0;3.56E-6;5.00E-5;0.00E0;0.00E0;4;0;-783.8661752277;-4334.54515903767;0;106.966641405992;64;70.4939585174761
63;6.73E4;0.00E0;7.15E-7;5.00E-5;0.00E0;0.00E0;4;0;-79.2732487615176;-5561.55448170284;0;280.342027560929;27;107.354224484006
68;5.48E4;0.00E0;1.17E-6;5.00E-5;0.00E0;0.00E0;4;0;-1688.09421089153;-5577.34743865615;0;47.7899409547727;68;512.435211541531
73;3.66E4;0.00E0;1.65E-6;5.00E-5;0.00E0;0.00E0;4;0;-404.121120062678;-2954.69359694333;0;113.661898389369;173;143.836527930013
74;2.97E4;0.00E0;5.17E-6;5.00E-5;0.00E0;0.00E0;4;0;-1413.63726064216;-5787.20972933743;0;79.2131576865538;164;167.476206037899
77;3.67E4;0.00E0;3.90E-6;5.00E-5;0.00E0;0.00E0;4;0;-4943.52554101145;-3743.94714855606;0;125.501984922765;147;130.751223225478
84;4.43E4;0.00E0;1.79E-6;5.00E-5;0.00E0;0.00E0;4;0;-600.849701187001;-4750.99247358386;0;210.454603178146;28;94.1824655435096
93;2.04E4;0.00E0;4.02E-7;5.00E-5;0.00E0;0.00E0;4;0;-284.340169452718;-9922.52858655478;0;57.7057055005134;54;158.114488111985
94;7.20E4;0.00E0;1.53E-6;5.00E-5;0.00E0;0.00E0;4;0;976.448845669872;-7755.60751736491;0;381.901773028847;42;84.2952507918076
95;6.71E4;0.00E0;4.79E-6;5.00E-5;0.00E0;0.00E0;4;0;-2139.56449597259;-6067.35168603424;0;297.464495972585;71;100.8393917719
103;4.68E4;0.00E0;1.46E-6;5.00E-5;0.00E0;0.00E0;4;0;1421.67533356359;-9349.97074198275;0;332.497032352545;49;62.9780081528722
104;8.84E4;0.00E0;2.05E-6;5.00E-5;0.00E0;0.00E0;4;0;-1341.67449241625;-11177.4820120488;0;486.111112153439;56;81.2620399336896
105;2.38E4;0.00E0;3.58E-6;5.00E-5;0.00E0;0.00E0;4;0;-900.796414126511;-5647.20318667526;0;174.385636904119;32;60.9498067009142
115;4.53E4;0.00E0;9.09E-7;5.00E-5;0.00E0;0.00E0;4;0;264.97142073654;-9002.13475642193;0;241.187968041638;44;83.9175400845164
119;2.94E4;0.00E0;1.13E-6;5.00E-5;0.00E0;0.00E0;4;0;-1199.937249673;-8983.39968953273;0;172.697415852802;163;76.0836971693401
122;3.18E4;0.00E0;1.12E-6;5.00E-5;0.00E0;0.00E0;4;0;-6675.96333055472;-5108.65311380246;0;164.514457710855;127;86.5389140700099
127;2.93E4;0.00E0;3.54E-6;5.00E-5;0.00E0;0.00E0;4;0;-5328.37604196663;-9345.00325676818;0;161.951562198334;92;80.9635741419557
134;4.01E4;0.00E0;4.40E-7;5.00E-5;0.00E0;0.00E0;4;0;-715.242883571035;-6724.26503583821;0;228.998844914577;154;78.2233608335995
135;8.73E4;0.00E0;1.30E-6;5.00E-5;0.00E0;0.00E0;4;0;-4307.42513715911;-7003.15162862864;0;93.4372486809021;101;417.838167833249
139;3.23E4;0.00E0;2.00E-6;5.00E-5;0.00E0;0.00E0;4;0;-6792.91228242444;-7103.95854658232;0;69.6071685745206;105;207.451674119673
144;6.20E4;0.00E0;1.36E-6;5.00E-5;0.00E0;0.00E0;4;0;2845.08515104007;-8792.27678839988;0;77.1056905761963;53;359.361029983693
